"main_category","title_tr","slug","top_category_slug","confidence"
"gelin-saci-ve-makyaji","Kuafor","service-kuafor","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Makyaj","service-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Makyaj Masasi Yapimi","service-makyaj-masasi-yapimi","service-home-furniture-wood","high"
"gelin-saci-ve-makyaji","Nikah Makyaji","service-nikah-makyaji","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Nisan Makyaji","service-nisan-makyaji","service-events-organization","medium"
"gelin-saci-ve-makyaji","Ozel Gun Makyaji","service-ozel-gun-makyaji","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Pet Kuaforu","service-pet-kuaforu","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Plastik Makyaj","service-plastik-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Porselen Makyaj","service-porselen-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Sac Ve Makyaj","service-sac-ve-makyaj","service-beauty-fashion","medium"
"gelin-saci-ve-makyaji","Yuz Tasi Makyaj","service-yuz-tasi-makyaj","service-beauty-fashion","medium"
"kina-ve-bekarliga-veda","Kina Elbisesi Kiralama","service-kina-elbisesi-kiralama","service-events-organization","medium"
"kina-ve-bekarliga-veda","Kina Fotograf Cekimi","service-kina-fotograf-cekimi","service-events-organization","medium"
"kina-ve-bekarliga-veda","Makinali Kara Siva","service-makinali-kara-siva","service-construction-renovation","medium"
"kina-ve-bekarliga-veda","Makinali Sap","service-makinali-sap","service-events-organization","medium"
"kina-ve-bekarliga-veda","Ozel Makina Imalati","service-ozel-makina-imalati","service-events-organization","medium"
"muzik","Bando Takimi","service-bando-takimi","service-events-organization","medium"
"muzik","Canli Muzik","service-canli-muzik","service-other","low"
"muzik","Dj Kiralama","service-dj-kiralama","service-events-organization","medium"
"muzik","Dugun Bandosu","service-dugun-bandosu","service-events-organization","high"
"muzik","Dugun Davulcusu","service-dugun-davulcusu","service-events-organization","medium"
"muzik","Dugun Dj","service-dugun-dj","service-events-organization","high"
"muzik","Dugun Orkestrasi","service-dugun-orkestrasi","service-events-organization","medium"
"muzik","Fasil Ekibi","service-fasil-ekibi","service-events-organization","medium"
"muzik","Gelin Alma Bandosu","service-gelin-alma-bandosu","service-events-organization","medium"
"muzik","Kadin Dj","service-kadin-dj","service-events-organization","medium"
"muzik","Muzik Ekibi","service-muzik-ekibi","service-events-organization","medium"
"muzik","Muzik Grubu","service-muzik-grubu","service-other","low"
"muzik","Muzik Produksiyon","service-muzik-produksiyon","service-other","low"
"muzik","Muzik Studyosu Kiralama","service-muzik-studyosu-kiralama","service-rental","medium"
"muzik","Muzik Yapimi","service-muzik-yapimi","service-home-furniture-wood","medium"
"muzik","Muzik Yetenek Sinavi Hazirlik","service-muzik-yetenek-sinavi-hazirlik","service-other","low"
"muzik","Muzisyen","service-muzisyen","service-other","low"
"muzik","Orkestra","service-orkestra","service-other","low"
"muzik","Profesyonel Dj","service-profesyonel-dj","service-events-organization","medium"
"muzik","Trio Muzik Grubu","service-trio-muzik-grubu","service-other","low"
"nikah-sekeri-ve-hediyelik","Dugun Hediyelik","service-dugun-hediyelik","service-events-organization","medium"
"nikah-sekeri-ve-hediyelik","Hediyelik Yapimi","service-hediyelik-yapimi","service-home-furniture-wood","medium"
"nikah-sekeri-ve-hediyelik","Mevlut Hediyelik","service-mevlut-hediyelik","service-other","low"
"nikah-sekeri-ve-hediyelik","Nikah Hediyelik","service-nikah-hediyelik","service-other","low"
"nikah-sekeri-ve-hediyelik","Nikah Sekeri","service-nikah-sekeri","service-other","low"
"nikah-sekeri-ve-hediyelik","Nisan Hediyelik","service-nisan-hediyelik","service-events-organization","medium"
