"slug","title_tr","top_category_slug","confidence","decision","main_category","reason"
"service-pvc-pencere-montaji","Pvc Pencere Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ranza-montaji","Ranza Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ray-spot-montaji","Ray Spot Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-rezervuar-montaji","Rezervuar Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-rustik-kornis-montaji","Rustik Kornis Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-rustik-perde-montaji","Rustik Perde Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-salincak-montaj","Salincak Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-sandalye-montaji","Sandalye Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-sandvic-panel-montaji","Sandvic Panel Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-serit-led-montaji","Serit Led Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ses-sistemi-montaj","Ses Sistemi Montaj","service-photo-video-media","high","out","","exclude_rule"
"service-ses-sistemi-tamiri","Ses Sistemi Tamiri","service-photo-video-media","medium","out","","exclude_rule"
"service-sifonyer-montaji","Sifonyer Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-sis-fari-montaji","Sis Fari Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-sofben-montaj","Sofben Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-spot-lamba-montaji","Spot Lamba Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-ssd-montaji","Ssd Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-stor-perde-montaji","Stor Perde Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-su-deposu-montaji","Su Deposu Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-su-saati-montaji","Su Saati Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-su-sayaci-montaji","Su Sayaci Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-supurgelik-montaji","Supurgelik Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-surgulu-dolap-montaji","Surgulu Dolap Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-surgulu-kapi-montaji","Surgulu Kapi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-tabela-montaji","Tabela Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-tavan-vantilatoru-montaji","Tavan Vantilatoru Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-televizyon-montaj","Televizyon Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-tente-montaji","Tente Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-termosifon-montaj","Termosifon Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-termostatik-vana-montaji","Termostatik Vana Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-trendyol-mobilya-montaj","Trendyol Mobilya Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-tv-unitesi-montaji","Tv Unitesi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-uydu-montaji","Uydu Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-video-montaj","Video Montaj","service-photo-video-media","high","out","","exclude_rule"
"service-video-montaj-egitimi","Video Montaj Egitimi","service-photo-video-media","high","out","","exclude_rule"
"service-vivense-montaj","Vivense Montaj","service-photo-video-media","medium","out","","exclude_rule"
"service-webasto-montaji","Webasto Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-yagmur-inis-borusu-montaji","Yagmur Inis Borusu Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-yangin-kapisi-montaji","Yangin Kapisi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-yatak-odasi-montaji","Yatak Odasi Montaji","service-photo-video-media","medium","out","","exclude_rule"
"service-elektrikli-bisiklet-batarya-tamiri","Elektrikli Bisiklet Batarya Tamiri","service-plumbing-electric-hvac","high","out","","exclude_rule"
"service-elektrikli-bisiklet-tamiri","Elektrikli Bisiklet Tamiri","service-plumbing-electric-hvac","medium","out","","exclude_rule"
"service-havuz-mekanik-tesisat","Havuz Mekanik Tesisat","service-plumbing-electric-hvac","medium","out","","exclude_rule"
"service-mekanik-tesisat","Mekanik Tesisat","service-plumbing-electric-hvac","medium","out","","exclude_rule"
"service-bahce-mobilyasi-tamiri","Bahce Mobilyasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-bahce-semsiyesi-tamiri","Bahce Semsiyesi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-bisiklet-tamiri","Bisiklet Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-cift-acilim-pencere-mekanizmasi-tamiri","Cift Acilim Pencere Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-drone-tamiri","Drone Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-koltuk-mekanizmasi-tamiri","Koltuk Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-avize-tamiri","Led Avize Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-aydinlatma-tamiri","Led Aydinlatma Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-ekran-tamiri","Led Ekran Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-stop-tamiri","Led Stop Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-led-tabela-tamiri","Led Tabela Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-stor-perde-mekanizmasi-tamiri","Stor Perde Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
"service-surgulu-dolap-mekanizmasi-tamiri","Surgulu Dolap Mekanizmasi Tamiri","service-repair-maintenance","medium","out","","exclude_rule"
