"name","slug","main_category","source_type","source_slug","top_category_slug","confidence"
"Motosiklet Transfer","service-motosiklet-transfer","gelin-arabasi","strict_v2","service-motosiklet-transfer","service-auto-services","medium"
"Sehirler Arasi Transfer","service-sehirler-arasi-transfer","gelin-arabasi","strict_v2","service-sehirler-arasi-transfer","service-other","low"
"Tekne Transferi","service-tekne-transferi","gelin-arabasi","strict_v2","service-tekne-transferi","service-other","low"
"Transfer","service-transfer","gelin-arabasi","strict_v2","service-transfer","service-other","low"
"Ustu Acik Gelin Arabasi Kiralama","service-ustu-acik-gelin-arabasi-kiralama","gelin-arabasi","strict_v2","service-ustu-acik-gelin-arabasi-kiralama","service-rental","medium"
"Vip Transfer","service-vip-transfer","gelin-arabasi","strict_v2","service-vip-transfer","service-other","low"
"Vito Gelin Arabasi Kiralama","service-vito-gelin-arabasi-kiralama","gelin-arabasi","strict_v2","service-vito-gelin-arabasi-kiralama","service-rental","medium"
"Gelinlik","service-gelinlik","gelinlik","strict_v2","service-gelinlik","service-other","low"
"Gelinlik Dikimi","service-gelinlik-dikimi","gelinlik","strict_v2","service-gelinlik-dikimi","service-beauty-fashion","medium"
"Gelinlik Kiralama","service-gelinlik-kiralama","gelinlik","strict_v2","service-gelinlik-kiralama","service-rental","medium"
"Gelinlik Kuru Temizleme","service-gelinlik-kuru-temizleme","gelinlik","strict_v2","service-gelinlik-kuru-temizleme","service-home-cleaning","medium"
"Gelinlik Tadilati","service-gelinlik-tadilati","gelinlik","strict_v2","service-gelinlik-tadilati","service-construction-renovation","medium"
"Tesettur Gelinlik Kiralama","service-tesettur-gelinlik-kiralama","gelinlik","strict_v2","service-tesettur-gelinlik-kiralama","service-rental","medium"
"Dogum Gunu Makyaji","service-dogum-gunu-makyaji","gelin-saci-ve-makyaji","strict_v2","service-dogum-gunu-makyaji","service-events-organization","medium"
"Dugun Makyaji","service-dugun-makyaji","gelin-saci-ve-makyaji","strict_v2","service-dugun-makyaji","service-events-organization","medium"
"Erkek Kuaforu","service-erkek-kuaforu","gelin-saci-ve-makyaji","strict_v2","service-erkek-kuaforu","service-beauty-fashion","medium"
"Evde Kuafor","service-evde-kuafor","gelin-saci-ve-makyaji","strict_v2","service-evde-kuafor","service-beauty-fashion","medium"
"Evde Makyaj","service-evde-makyaj","gelin-saci-ve-makyaji","strict_v2","service-evde-makyaj","service-beauty-fashion","medium"
"Evde Nisan Makyaji","service-evde-nisan-makyaji","gelin-saci-ve-makyaji","strict_v2","service-evde-nisan-makyaji","service-events-organization","medium"
"Fotograf Cekimi Makyaji","service-fotograf-cekimi-makyaji","gelin-saci-ve-makyaji","strict_v2","service-fotograf-cekimi-makyaji","service-photo-video-media","medium"
"Gelin Makyaji","service-gelin-makyaji","gelin-saci-ve-makyaji","strict_v2","service-gelin-makyaji","service-beauty-fashion","medium"
"Gelin Sac Makyaj","service-gelin-sac-makyaj","gelin-saci-ve-makyaji","strict_v2","service-gelin-sac-makyaj","service-beauty-fashion","medium"
"Gelin Saci","service-gelin-saci","gelin-saci-ve-makyaji","strict_v2","service-gelin-saci","service-other","low"
"Glitter Makyaj","service-glitter-makyaj","gelin-saci-ve-makyaji","strict_v2","service-glitter-makyaj","service-beauty-fashion","medium"
"Gunluk Makyaj","service-gunluk-makyaj","gelin-saci-ve-makyaji","strict_v2","service-gunluk-makyaj","service-beauty-fashion","medium"
"Kiz Isteme Makyaji","service-kiz-isteme-makyaji","gelin-saci-ve-makyaji","strict_v2","service-kiz-isteme-makyaji","service-beauty-fashion","medium"
"Kopek Kuaforu","service-kopek-kuaforu","gelin-saci-ve-makyaji","strict_v2","service-kopek-kuaforu","service-beauty-fashion","medium"
"Kuafor","service-kuafor","gelin-saci-ve-makyaji","strict_v2","service-kuafor","service-beauty-fashion","medium"
"Makyaj","service-makyaj","gelin-saci-ve-makyaji","strict_v2","service-makyaj","service-beauty-fashion","medium"
"Makyaj Masasi Yapimi","service-makyaj-masasi-yapimi","gelin-saci-ve-makyaji","strict_v2","service-makyaj-masasi-yapimi","service-home-furniture-wood","high"
"Nikah Makyaji","service-nikah-makyaji","gelin-saci-ve-makyaji","strict_v2","service-nikah-makyaji","service-beauty-fashion","medium"
