"main_category","category_slug","status","source","version"
"davetiye-hediyelik-cicek","davetiye-baski","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","dijital-davetiye","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","dugun-davetiyesi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","nikah-sekeri","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","nisan-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","dugun-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","mevlut-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","nikah-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","cicekci","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","cicek-gonderme","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","cicek-tasarimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","yenidogan-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
