"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-plicell-perde","Plicell Perde","service-other","low","manual_review","","no_match"
"service-qr-menu","Qr Menu","service-other","low","manual_review","","no_match"
"service-rektifikasyon","Rektifikasyon","service-other","low","manual_review","","no_match"
"service-romence-cevirmen","Romence Cevirmen","service-other","low","manual_review","","no_match"
"service-ruya-yorumu","Ruya Yorumu","service-other","low","manual_review","","no_match"
"service-sararmis-far-parlatma","Sararmis Far Parlatma","service-other","low","manual_review","","no_match"
"service-sifreli-gecis-sistemleri","Sifreli Gecis Sistemleri","service-other","low","manual_review","","no_match"
"service-sinav-kocu","Sinav Kocu","service-other","low","manual_review","","no_match"
"service-stropiyer-tavan","Stropiyer Tavan","service-other","low","manual_review","","no_match"
"service-telefon-hatti-cekme","Telefon Hatti Cekme","service-other","low","manual_review","","no_match"
"service-toptan-sweatshirt","Toptan Sweatshirt","service-other","low","manual_review","","no_match"
"service-uluslararasi-lojistik","Uluslararasi Lojistik","service-other","low","manual_review","","no_match"
"service-vucut-gelistirme","Vucut Gelistirme","service-other","low","manual_review","","no_match"
"service-wordpress-destek","Wordpress Destek","service-other","low","manual_review","","no_match"
"service-yelken-bayrak","Yelken Bayrak","service-other","low","manual_review","","no_match"
"service-yenidogan-hediyelik","Yenidogan Hediyelik","service-other","low","manual_review","","no_match"
"service-yorgan-battaniye-yikama","Yorgan Battaniye Yikama","service-other","low","manual_review","","no_match"
"service-duvar-kagidi-doseme","Duvar Kagidi Doseme","service-construction-renovation","high","manual_review","","no_match"
"service-sehirler-arasi-parca-esya-tasima","Sehirler Arasi Parca Esya Tasima","service-moving-logistics","high","manual_review","","no_match"
"service-kamera-guvenlik-sistemleri","Kamera Guvenlik Sistemleri","service-business-consulting","medium","manual_review","","no_match"
"service-boyaci-boya-badana-ustasi","Boyaci Boya Badana Ustasi","service-construction-renovation","high","manual_review","","no_match"
"service-seramik-doseme","Seramik Doseme","service-construction-renovation","high","manual_review","","no_match"
"service-ozel-dedektif","Ozel Dedektif","service-other","low","manual_review","","no_match"
"service-evde-koltuk-yikama","Evde Koltuk Yikama","service-home-cleaning","medium","manual_review","","no_match"
"service-sineklik","Sineklik","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-butik-pasta","Butik Pasta","service-other","low","manual_review","","no_match"
"service-yuk-tasima","Yuk Tasima","service-moving-logistics","medium","manual_review","","no_match"
"service-havaalani-transfer","Havaalani Transfer","service-other","low","manual_review","","no_match"
"service-cati-tadilati","Cati Tadilati","service-construction-renovation","high","manual_review","","no_match"
"service-dusakabin","Dusakabin","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-mobil-uygulama-gelistirme","Mobil Uygulama Gelistirme","service-design-software-marketing","medium","manual_review","","no_match"
"service-bilgisayar-format-atma","Bilgisayar Format Atma","service-other","low","manual_review","","no_match"
